step,loss_to
0,0.263488
1,0.260626
2,0.257880
3,0.255247
4,0.252723
5,0.250306
6,0.247990
7,0.245772
8,0.243647
9,0.241610
10,0.239659
11,0.237788
12,0.235994
13,0.234273
14,0.232619
15,0.231028
16,0.229495
17,0.228016
18,0.226584
19,0.225197
20,0.223850
21,0.222538
22,0.221259
23,0.220008
24,0.218784
25,0.217583
26,0.216404
27,0.215246
28,0.214106
29,0.212984
30,0.211879
31,0.210789
32,0.209714
33,0.208654
34,0.207607
35,0.206573
36,0.205552
37,0.204543
38,0.203546
39,0.202559
40,0.201583
41,0.200616
42,0.199659
43,0.198711
44,0.197771
45,0.196838
46,0.195913
47,0.194994
48,0.194081
49,0.193174
50,0.192272
51,0.191375
52,0.190482
53,0.189594
54,0.188710
55,0.187829
56,0.186952
57,0.186078
58,0.185207
59,0.184339
60,0.183474
61,0.182611
62,0.181751
63,0.180894
64,0.180039
65,0.179186
66,0.178336
67,0.177488
68,0.176642
69,0.175798
70,0.174957
71,0.174118
72,0.173282
73,0.172448
74,0.171617
75,0.170788
76,0.169963
77,0.169140
78,0.168320
79,0.167504
80,0.166691
81,0.165881
82,0.165075
83,0.164273
84,0.163474
85,0.162680
86,0.161889
87,0.161103
88,0.160322
89,0.159545
90,0.158773
91,0.158005
92,0.157243
93,0.156485
94,0.155733
95,0.154985
96,0.154244
97,0.153507
98,0.152776
99,0.152051
100,0.151332
101,0.150618
102,0.149910
103,0.149209
104,0.148513
105,0.147823
106,0.147139
107,0.146462
108,0.145791
109,0.145126
110,0.144467
111,0.143815
112,0.143169
113,0.142530
114,0.141897
115,0.141271
116,0.140651
117,0.140038
118,0.139431
119,0.138831
120,0.138238
121,0.137651
122,0.137071
123,0.136497
124,0.135930
125,0.135370
126,0.134816
127,0.134269
128,0.133728
129,0.133193
130,0.132666
131,0.132144
132,0.131629
133,0.131121
134,0.130619
135,0.130123
136,0.129633
137,0.129149
138,0.128672
139,0.128201
140,0.127736
141,0.127277
142,0.126823
143,0.126376
144,0.125935
145,0.125499
146,0.125069
147,0.124644
148,0.124226
149,0.123812
150,0.123404
151,0.123002
152,0.122604
153,0.122212
154,0.121825
155,0.121444
156,0.121067
157,0.120695
158,0.120328
159,0.119966
160,0.119608
161,0.119256
162,0.118908
163,0.118564
164,0.118225
165,0.117890
166,0.117559
167,0.117233
168,0.116911
169,0.116593
170,0.116279
171,0.115969
172,0.115663
173,0.115361
174,0.115063
175,0.114768
176,0.114477
177,0.114190
178,0.113906
179,0.113625
180,0.113349
181,0.113075
182,0.112805
183,0.112538
184,0.112274
185,0.112014
186,0.111756
187,0.111502
188,0.111251
189,0.111002
190,0.110757
191,0.110514
192,0.110274
193,0.110037
194,0.109803
195,0.109571
196,0.109342
197,0.109115
198,0.108891
199,0.108670
200,0.108451
201,0.108234
202,0.108020
203,0.107808
204,0.107598
205,0.107391
206,0.107186
207,0.106983
208,0.106782
209,0.106583
210,0.106387
211,0.106192
212,0.105999
213,0.105809
214,0.105620
215,0.105433
216,0.105248
217,0.105065
218,0.104884
219,0.104705
220,0.104527
221,0.104351
222,0.104177
223,0.104004
224,0.103834
225,0.103664
226,0.103497
227,0.103331
228,0.103166
229,0.103003
230,0.102842
231,0.102682
232,0.102523
233,0.102366
234,0.102211
235,0.102056
236,0.101903
237,0.101752
238,0.101602
239,0.101453
240,0.101305
241,0.101159
242,0.101014
243,0.100870
244,0.100728
245,0.100586
246,0.100446
247,0.100307
248,0.100169
249,0.100032
250,0.099897
251,0.099762
252,0.099629
253,0.099496
254,0.099365
255,0.099235
256,0.099105
257,0.098977
258,0.098850
259,0.098724
260,0.098598
261,0.098474
262,0.098351
263,0.098228
264,0.098107
265,0.097986
266,0.097866
267,0.097748
268,0.097630
269,0.097512
270,0.097396
271,0.097281
272,0.097166
273,0.097052
274,0.096939
275,0.096827
276,0.096716
277,0.096605
278,0.096495
279,0.096386
280,0.096278
281,0.096170
282,0.096063
283,0.095957
284,0.095851
285,0.095747
286,0.095643
287,0.095539
288,0.095436
289,0.095334
290,0.095233
291,0.095132
292,0.095032
293,0.094932
294,0.094834
295,0.094735
296,0.094638
297,0.094541
298,0.094444
299,0.094348
300,0.094253
301,0.094158
302,0.094064
303,0.093970
304,0.093877
305,0.093785
306,0.093693
307,0.093602
308,0.093511
309,0.093420
310,0.093331
311,0.093241
312,0.093152
313,0.093064
314,0.092976
315,0.092889
316,0.092802
317,0.092716
318,0.092630
319,0.092544
320,0.092459
321,0.092375
322,0.092291
323,0.092207
324,0.092124
325,0.092041
326,0.091959
327,0.091877
328,0.091795
329,0.091714
330,0.091634
331,0.091553
332,0.091474
333,0.091394
334,0.091315
335,0.091236
336,0.091158
337,0.091080
338,0.091003
339,0.090926
340,0.090849
341,0.090773
342,0.090697
343,0.090621
344,0.090546
345,0.090471
346,0.090396
347,0.090322
348,0.090248
349,0.090175
350,0.090101
351,0.090028
352,0.089956
353,0.089884
354,0.089812
355,0.089740
356,0.089669
357,0.089598
358,0.089527
359,0.089457
360,0.089387
361,0.089317
362,0.089248
363,0.089179
364,0.089110
365,0.089041
366,0.088973
367,0.088905
368,0.088838
369,0.088770
370,0.088703
371,0.088636
372,0.088570
373,0.088503
374,0.088437
375,0.088371
376,0.088306
377,0.088241
378,0.088176
379,0.088111
380,0.088046
381,0.087982
382,0.087918
383,0.087854
384,0.087791
385,0.087728
386,0.087665
387,0.087602
388,0.087539
389,0.087477
390,0.087415
391,0.087353
392,0.087291
393,0.087230
394,0.087169
395,0.087108
396,0.087047
397,0.086987
398,0.086926
399,0.086866
400,0.086806
401,0.086747
402,0.086687
403,0.086628
404,0.086569
405,0.086510
406,0.086451
407,0.086393
